Year,Term,NYT,SLPD,TBT,SDUT,Total
2009,Psilocybin,1,0,0,0,1
2009,Psychedelic Mushrooms ,3,0,0,0,3
2010,Hallucinogenic Mushrooms,0,0,0,1,1
2010,Magic Mushrooms,4,0,0,0,4
2010,Psilocybin,7,1,1,0,9
2010,Psychedelic Mushrooms ,2,0,1,0,3
2011,Hallucinogenic Mushrooms,7,0,1,0,8
2011,Magic Mushrooms,4,1,0,0,5
2011,Psilocybin,4,2,0,0,6
2011,Psychedelic Mushrooms ,1,0,1,0,2
2012,Hallucinogenic Mushrooms,4,2,0,2,8
2012,Magic Mushrooms,2,0,0,2,4
2012,Psilocybin,3,0,0,0,3
2012,Psychedelic Mushrooms ,3,2,0,0,5
2013,Hallucinogenic Mushrooms,1,0,0,2,3
2013,Magic Mushrooms,3,1,0,1,5
2013,Psilocybin,1,0,1,1,3
2013,Psychedelic Mushrooms ,0,1,0,1,2
2014,Hallucinogenic Mushrooms,2,1,1,0,4
2014,Magic Mushrooms,2,1,0,0,3
2014,Psilocybin,3,0,0,1,4
2014,Psychedelic Mushrooms ,3,0,0,0,3
2015,Hallucinogenic Mushrooms,6,2,0,0,8
2015,Magic Mushrooms,7,0,0,0,7
2015,Psilocybin,8,1,1,0,10
2015,Psychedelic Mushrooms ,1,0,2,0,3
2016,Hallucinogenic Mushrooms,2,0,0,0,2
2016,Magic Mushrooms,4,0,0,0,4
2016,Psilocybin,4,0,0,1,5
2016,Psychedelic Mushrooms ,2,0,0,0,2
2017,Hallucinogenic Mushrooms,2,0,0,0,2
2017,Magic Mushrooms,9,0,0,2,11
2017,Psilocybin,10,1,0,1,12
2017,Psychedelic Mushrooms ,4,0,0,1,5
2018,Hallucinogenic Mushrooms,5,0,0,1,6
2018,Magic Mushrooms,8,0,0,2,10
2018,Psilocybin,17,0,0,3,20
2018,Psychedelic Mushrooms ,3,0,0,1,4
2019,Hallucinogenic Mushrooms,3,0,0,2,5
2019,Magic Mushrooms,11,1,0,5,17
2019,Psilocybin,20,1,0,5,26
2019,Psychedelic Mushrooms ,11,0,0,2,13
